         3736770 function calls (3535359 primitive calls) in 18.023 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      327    0.013    0.000    0.030    0.000 __init__.py:316(namedtuple)
       21    0.000    0.000    0.030    0.001 tensorflow_backend.py:3908(conv2d)
        1    0.000    0.000    0.030    0.030 input_layer.py:114(Input)
        1    0.000    0.000    0.030    0.030 input_layer.py:33(__init__)
        1    0.000    0.000    0.029    0.029 test.py:22(<module>)
       21    0.000    0.000    0.029    0.001 nn_ops.py:764(convolution)
       21    0.000    0.000    0.029    0.001 nn_ops.py:942(convolution_internal)
     1132    0.007    0.000    0.029    0.000 ops.py:2365(get_attr)
     5381    0.007    0.000    0.029    0.000 ops.py:3829(as_default)
     2573    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap>:147(__enter__)
     4112    0.003    0.000    0.028    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.028    0.028 app.py:26(<module>)
     8678    0.004    0.000    0.028    0.000 ops.py:202(is_dense_tensor_like)
   164103    0.028    0.000    0.028    0.000 {method 'startswith' of 'str' objects}
     8172    0.007    0.000    0.028    0.000 ops.py:5452(get_default)
       21    0.001    0.000    0.027    0.001 gen_nn_ops.py:954(conv2d)
        1    0.000    0.000    0.027    0.027 converter.py:60(<module>)
        1    0.000    0.000    0.027    0.027 model_config.py:17(<module>)
        1    0.000    0.000    0.027    0.027 test_util.py:17(<module>)
     1781    0.003    0.000    0.027    0.000 c_api_util.py:176(tf_output)
        1    0.000    0.000    0.027    0.027 training.py:19(<module>)
      386    0.000    0.000    0.026    0.000 __init__.py:1409(has_metadata)
      496    0.026    0.000    0.026    0.000 {built-in method nt._isdir}
        1    0.000    0.000    0.026    0.026 values.py:15(<module>)
      492    0.001    0.000    0.026    0.000 __init__.py:2026(_by_version)
        2    0.026    0.013    0.026    0.013 files.py:153(make_fid)
     5148    0.012    0.000    0.026    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2091    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       16    0.000    0.000    0.025    0.002 nn_ops.py:326(with_space_to_batch)
        3    0.000    0.000    0.025    0.008 save.py:15(<module>)
     2376    0.010    0.000    0.025    0.000 version.py:198(__init__)
        1    0.000    0.000    0.024    0.024 client.py:69(<module>)
       16    0.000    0.000    0.024    0.002 tensorflow_backend.py:507(placeholder)
     1157    0.003    0.000    0.024    0.000 ops.py:6305(__enter__)
        1    0.000    0.000    0.024    0.024 sequential.py:2(<module>)
        1    0.000    0.000    0.024    0.024 __init__.py:219(<module>)
      180    0.000    0.000    0.024    0.000 __init__.py:1431(get_metadata_lines)
        1    0.000    0.000    0.024    0.024 universaldetector.py:36(<module>)
     4310    0.002    0.000    0.024    0.000 tensorflow_backend.py:2960(<genexpr>)
      180    0.001    0.000    0.024    0.000 __init__.py:1416(get_metadata)
      116    0.002    0.000    0.024    0.000 group.py:71(create_dataset)
        1    0.000    0.000    0.024    0.024 variables.py:15(<module>)
       39    0.000    0.000    0.023    0.001 gen_math_ops.py:11055(sub)
        1    0.000    0.000    0.023    0.023 linalg.py:15(<module>)
        1    0.000    0.000    0.023    0.023 sparse_tensor.py:15(<module>)
        1    0.000    0.000    0.023    0.023 distribute_lib.py:92(<module>)
     2155    0.002    0.000    0.023    0.000 training_utils.py:95(<listcomp>)
      492    0.001    0.000    0.023    0.000 __init__.py:2032(<listcomp>)
       41    0.000    0.000    0.023    0.001 math_ops.py:1202(_mul_dispatch)
        2    0.001    0.000    0.023    0.011 config_pb2.py:5(<module>)
       41    0.000    0.000    0.023    0.001 gen_math_ops.py:6668(mul)
      935    0.014    0.000    0.022    0.000 ops.py:1532(_NodeDef)
     1680    0.001    0.000    0.022    0.000 version.py:24(parse)
      298    0.022    0.000    0.022    0.000 {built-in method io.open}
    13975    0.007    0.000    0.022    0.000 module_wrapper.py:119(_tfmw_add_deprecation_warning)
 1665/193    0.007    0.000    0.022    0.000 sre_compile.py:71(_compile)
     2165    0.002    0.000    0.022    0.000 tensorflow_backend.py:331(is_sparse)
      154    0.002    0.000    0.022    0.000 session.py:461(__init__)
     3473    0.007    0.000    0.022    0.000 tf_export.py:255(__init__)
     1734    0.011    0.000    0.021    0.000 tf_decorator.py:67(make_decorator)
        2    0.000    0.000    0.021    0.011 __init__.py:45(<module>)
     2155    0.003    0.000    0.021    0.000 training_utils.py:19(standardize_single_array)
